"","country","region","year","income","Life_Expectancy","Population_size"
"1","Afghanistan","Asia","1800",603,28.2,3280000
"2","Albania","Europe","1800",667,35.4,410000
"3","Algeria","Africa","1800",715,28.8,2500000
"4","Angola","Africa","1800",618,27,1570000
"5","Antigua and Barbuda","Americas","1800",757,33.5,37000
"6","Argentina","Americas","1800",1510,33.2,534000
"7","Armenia","Asia","1800",514,34,413000
"8","Australia","Oceania","1800",814,34,351000
"9","Austria","Europe","1800",1850,34.4,3210000
"10","Azerbaijan","Asia","1800",775,29.2,880000
"11","Bahamas","Americas","1800",1450,35.2,27400
"12","Bahrain","Asia","1800",1240,30.3,64500
"13","Bangladesh","Asia","1800",876,25.5,19200000
"14","Barbados","Americas","1800",913,32.1,81700
"15","Belarus","Europe","1800",608,36.2,2360000
"16","Belgium","Europe","1800",2410,40,3140000
"17","Belize","Americas","1800",579,26.5,25500
"18","Benin","Africa","1800",597,31,637000
"19","Bhutan","Asia","1800",629,28.8,90000
"20","Bolivia","Americas","1800",854,33,1100000
"21","Bosnia and Herzegovina","Europe","1800",669,35.1,852000
"22","Botswana","Africa","1800",397,33.6,121000
"23","Brazil","Americas","1800",1110,32,3640000
"24","Brunei","Asia","1800",1510,29.2,2130
"25","Bulgaria","Europe","1800",1090,35.8,1990000
"26","Burkina Faso","Africa","1800",480,29.2,1670000
"27","Burundi","Africa","1800",418,31.5,899000
"28","Cambodia","Asia","1800",903,35,2090000
"29","Cameroon","Africa","1800",626,28.8,1860000
"30","Canada","Americas","1800",1310,39,646000
"31","Cape Verde","Africa","1800",529,33.8,55700
"32","Central African Republic","Africa","1800",424,30,479000
"33","Chad","Africa","1800",418,30.9,1430000
"34","Chile","Americas","1800",1030,32,771000
"35","China","Asia","1800",984,32,322000000
"36","Colombia","Americas","1800",962,32,1210000
"37","Comoros","Africa","1800",696,32.1,56300
"38","Congo, Dem. Rep.","Africa","1800",485,31.6,5160000
"39","Congo, Rep.","Africa","1800",575,32.7,314000
"40","Costa Rica","Americas","1800",775,30.2,52000
"41","Cote d'Ivoire","Africa","1800",812,31.2,1090000
"42","Croatia","Europe","1800",1080,36.1,1230000
"43","Cuba","Americas","1800",864,32.2,345000
"44","Cyprus","Asia","1800",853,38.5,184000
"45","Czech Republic","Europe","1800",1920,35,5520000
"46","Denmark","Europe","1800",2010,37.4,1060000
"47","Djibouti","Africa","1800",752,29.9,22800
"48","Dominican Republic","Americas","1800",667,29.9,89000
"49","Ecuador","Americas","1800",529,32.9,500000
"50","Egypt","Africa","1800",790,33,4240000
"51","El Salvador","Americas","1800",974,28.7,248000
"52","Equatorial Guinea","Africa","1800",356,29.8,80400
"53","Eritrea","Africa","1800",532,30.2,205000
"54","Estonia","Europe","1800",938,36.1,334000
"55","Ethiopia","Africa","1800",523,29.7,2950000
"56","Fiji","Oceania","1800",785,26.1,131000
"57","Finland","Europe","1800",1240,36.6,978000
"58","France","Europe","1800",1800,34,29400000
"59","Gabon","Africa","1800",390,30.6,158000
"60","Gambia","Africa","1800",813,28.8,103000
"61","Georgia","Asia","1800",543,31.9,1070000
"62","Germany","Europe","1800",1640,38.4,22900000
"63","Ghana","Africa","1800",696,28,2020000
"64","Greece","Europe","1800",1370,36.6,2150000
"65","Grenada","Americas","1800",959,31.4,29400
"66","Guatemala","Americas","1800",857,25.8,459000
"67","Guinea","Africa","1800",450,29.5,984000
"68","Guinea-Bissau","Africa","1800",777,32,218000
"69","Guyana","Americas","1800",1210,31.1,166000
"70","Haiti","Americas","1800",633,29,723000
"71","Honduras","Americas","1800",675,33.9,126000
"72","Hungary","Europe","1800",1250,36,3500000
"73","Iceland","Europe","1800",926,42.9,61400
"74","India","Asia","1800",1050,25.4,169000000
"75","Indonesia","Asia","1800",994,30,16100000
"76","Iran","Asia","1800",976,25.6,6270000
"77","Iraq","Asia","1800",969,31.2,1080000
"78","Ireland","Europe","1800",1450,38.3,4060000
"79","Israel","Asia","1800",879,32,210000
"80","Italy","Europe","1800",2220,29.7,18800000
"81","Jamaica","Americas","1800",1170,34.2,401000
"82","Japan","Asia","1800",1050,36.4,30300000
"83","Jordan","Asia","1800",976,31.7,217000
"84","Kazakhstan","Asia","1800",1140,26.2,2040000
"85","Kenya","Africa","1800",854,25.5,2570000
"86","Kiribati","Oceania","1800",551,24.9,17900
"87","Kuwait","Asia","1800",1100,26,81300
"88","Kyrgyz Republic","Asia","1800",508,23.9,530000
"89","Lao","Asia","1800",864,31.9,470000
"90","Latvia","Europe","1800",751,33,591000
"91","Lebanon","Asia","1800",1080,29.7,332000
"92","Lesotho","Africa","1800",393,32.8,276000
"93","Liberia","Africa","1800",797,31.1,314000
"94","Libya","Africa","1800",1050,33.1,531000
"95","Lithuania","Europe","1800",1270,28.9,779000
"96","Luxembourg","Europe","1800",1450,36.9,127000
"97","Macedonia, FYR","Europe","1800",690,36.1,392000
"98","Madagascar","Africa","1800",573,30.5,1540000
"99","Malawi","Africa","1800",350,30.3,737000
"100","Malaysia","Asia","1800",997,30.6,287000
"101","Maldives","Asia","1800",842,32.6,42400
"102","Mali","Africa","1800",603,26.4,1400000
"103","Malta","Europe","1800",781,28.7,134000
"104","Mauritania","Africa","1800",527,32,383000
"105","Mauritius","Africa","1800",940,28.7,62900
"106","Mexico","Americas","1800",1380,26.9,6180000
"107","Micronesia, Fed. Sts.","Oceania","1800",518,26.7,16400
"108","Moldova","Europe","1800",621,33.1,713000
"109","Mongolia","Asia","1800",592,31.8,619000
"110","Montenegro","Europe","1800",1060,35.4,127000
"111","Morocco","Africa","1800",714,33.1,2500000
"112","Mozambique","Africa","1800",390,30.3,1980000
"113","Myanmar","Asia","1800",840,30.8,3510000
"114","Namibia","Africa","1800",540,32.4,229000
"115","Nepal","Asia","1800",654,32.8,3880000
"116","Netherlands","Europe","1800",4230,39.9,2250000
"117","New Zealand","Oceania","1800",658,34,100000
"118","Nicaragua","Americas","1800",973,25.4,219000
"119","Niger","Africa","1800",446,30.8,1240000
"120","Nigeria","Africa","1800",851,30.4,12100000
"121","North Korea","Asia","1800",578,26,4350000
"122","Norway","Europe","1800",1280,37.9,869000
"123","Oman","Asia","1800",915,32.3,318000
"124","Pakistan","Asia","1800",1020,25.8,13100000
"125","Palestine","Asia","1800",1220,32.1,166000
"126","Panama","Americas","1800",847,32.9,78800
"127","Papua New Guinea","Oceania","1800",546,31.5,755000
"128","Paraguay","Americas","1800",835,35.5,143000
"129","Peru","Americas","1800",1200,35.7,1310000
"130","Philippines","Asia","1800",962,30.9,1890000
"131","Poland","Europe","1800",1210,35.9,9510000
"132","Portugal","Europe","1800",1680,35.6,3030000
"133","Qatar","Asia","1800",1100,30.8,14100
"134","Romania","Europe","1800",815,35.7,5460000
"135","Russia","Europe","1800",1430,29.6,31100000
"136","Rwanda","Africa","1800",431,31.8,928000
"137","Samoa","Oceania","1800",1400,25.4,47300
"138","Sao Tome and Principe","Africa","1800",850,31,22700
"139","Saudi Arabia","Asia","1800",846,32.1,2090000
"140","Senegal","Africa","1800",497,25.2,1010000
"141","Serbia","Europe","1800",1360,35.5,2150000
"142","Seychelles","Africa","1800",792,37,12500
"143","Sierra Leone","Africa","1800",734,25.1,794000
"144","Singapore","Asia","1800",1020,29.1,30000
"145","Slovak Republic","Europe","1800",1430,36.4,2140000
"146","Slovenia","Europe","1800",1410,36.6,470000
"147","Solomon Islands","Oceania","1800",363,25.1,57000
"148","Somalia","Africa","1800",694,29.4,991000
"149","South Africa","Africa","1800",1480,33.5,1440000
"150","South Korea","Asia","1800",575,25.8,9400000
"151","South Sudan","Africa","1800",507,26.7,1030000
"152","Spain","Europe","1800",1520,29.5,11500000
"153","Sri Lanka","Asia","1800",898,32.6,1210000
"154","St. Lucia","Americas","1800",874,28,24000
"155","St. Vincent and the Grenadines","Americas","1800",838,26,25800
"156","Sudan","Africa","1800",518,31.4,3990000
"157","Suriname","Americas","1800",1640,32.9,80700
"158","Swaziland","Africa","1800",490,32.3,86000
"159","Sweden","Europe","1800",1410,32.2,2350000
"160","Switzerland","Europe","1800",2700,38,1830000
"161","Syria","Asia","1800",1080,31.1,1340000
"162","Tajikistan","Asia","1800",556,24.2,467000
"163","Tanzania","Africa","1800",562,32.2,3020000
"164","Thailand","Asia","1800",931,30.4,4670000
"165","Timor-Leste","Asia","1800",521,28.9,137000
"166","Togo","Africa","1800",682,31.3,446000
"167","Tonga","Oceania","1800",663,28.2,18700
"168","Trinidad and Tobago","Americas","1800",1230,32.9,60000
"169","Tunisia","Africa","1800",715,28.8,862000
"170","Turkey","Asia","1800",1220,35,9770000
"171","Turkmenistan","Asia","1800",943,24,367000
"172","Uganda","Africa","1800",464,25.3,2100000
"173","Ukraine","Europe","1800",763,36.6,11200000
"174","United Arab Emirates","Asia","1800",998,30.7,40200
"175","United Kingdom","Europe","1800",3430,38.6,12300000
"176","United States","Americas","1800",2130,39.4,6800000
"177","Uruguay","Americas","1800",1760,32.9,55000
"178","Uzbekistan","Asia","1800",502,26.9,1920000
"179","Vanuatu","Oceania","1800",585,24.3,27800
"180","Venezuela","Americas","1800",682,32.2,718000
"181","Vietnam","Asia","1800",861,32,6550000
"182","Yemen","Asia","1800",877,23.4,2590000
"183","Zambia","Africa","1800",663,32.6,747000
"184","Zimbabwe","Africa","1800",869,33.7,1090000
"185","Afghanistan","Asia","1801",603,28.2,3280000
"186","Albania","Europe","1801",667,35.4,412000
"187","Algeria","Africa","1801",716,28.8,2510000
"188","Angola","Africa","1801",620,27,1570000
"189","Antigua and Barbuda","Americas","1801",757,33.5,37000
"190","Argentina","Americas","1801",1510,33.2,534000
"191","Armenia","Asia","1801",514,34,413000
"192","Australia","Oceania","1801",816,34,350000
"193","Austria","Europe","1801",1850,34.4,3210000
"194","Azerbaijan","Asia","1801",775,29.2,880000
"195","Bahamas","Americas","1801",1450,35.2,27400
"196","Bahrain","Asia","1801",1240,30.3,64500
"197","Bangladesh","Asia","1801",876,25.5,19300000
"198","Barbados","Americas","1801",914,32.1,81700
"199","Belarus","Europe","1801",608,36.2,2360000
"200","Belgium","Europe","1801",2410,40,3150000
"201","Belize","Americas","1801",579,26.5,25500
"202","Benin","Africa","1801",597,31,637000
"203","Bhutan","Asia","1801",629,28.8,90000
"204","Bolivia","Americas","1801",854,33,1100000
"205","Bosnia and Herzegovina","Europe","1801",669,35.1,852000
"206","Botswana","Africa","1801",397,33.6,121000
"207","Brazil","Americas","1801",1110,32,3680000
"208","Brunei","Asia","1801",1510,29.2,2130
"209","Bulgaria","Europe","1801",1090,35.8,2000000
"210","Burkina Faso","Africa","1801",480,29.2,1670000
"211","Burundi","Africa","1801",418,31.5,899000
"212","Cambodia","Asia","1801",904,35,2090000
"213","Cameroon","Africa","1801",626,28.8,1860000
"214","Canada","Americas","1801",1320,39,653000
"215","Cape Verde","Africa","1801",529,33.8,55700
"216","Central African Republic","Africa","1801",424,30,479000
"217","Chad","Africa","1801",418,30.9,1430000
"218","Chile","Americas","1801",1030,32,771000
"219","China","Asia","1801",984,32,324000000
"220","Colombia","Americas","1801",962,32,1210000
"221","Comoros","Africa","1801",697,32.1,56300
"222","Congo, Dem. Rep.","Africa","1801",487,31.6,5160000
"223","Congo, Rep.","Africa","1801",576,32.7,314000
"224","Costa Rica","Americas","1801",775,30.2,53000
"225","Cote d'Ivoire","Africa","1801",816,31.2,1090000
"226","Croatia","Europe","1801",1090,36.1,1230000
"227","Cuba","Americas","1801",874,32.3,355000
"228","Cyprus","Asia","1801",854,38.5,184000
"229","Czech Republic","Europe","1801",1920,35,5520000
"230","Denmark","Europe","1801",2020,38.5,1070000
"231","Djibouti","Africa","1801",754,29.9,22800
"232","Dominican Republic","Americas","1801",667,29.9,89000
"233","Ecuador","Americas","1801",529,32.9,500000
"234","Egypt","Africa","1801",791,33,4240000
"235","El Salvador","Americas","1801",975,28.7,248000
"236","Equatorial Guinea","Africa","1801",356,29.8,80400
"237","Eritrea","Africa","1801",532,30.2,205000
"238","Estonia","Europe","1801",939,35.7,334000
"239","Ethiopia","Africa","1801",523,29.7,2950000
"240","Fiji","Oceania","1801",785,26.1,131000
"241","Finland","Europe","1801",1250,40.3,986000
"242","France","Europe","1801",1810,36.4,29400000
"243","Gabon","Africa","1801",390,30.6,158000
"244","Gambia","Africa","1801",813,28.8,103000
"245","Georgia","Asia","1801",543,31.9,1070000
"246","Germany","Europe","1801",1650,38.4,23000000
"247","Ghana","Africa","1801",696,28,2020000
"248","Greece","Europe","1801",1370,36.6,2160000
"249","Grenada","Americas","1801",959,31.4,29400
"250","Guatemala","Americas","1801",857,25.8,465000
"251","Guinea","Africa","1801",450,29.5,984000
"252","Guinea-Bissau","Africa","1801",777,32,218000
"253","Guyana","Americas","1801",1210,31.1,166000
"254","Haiti","Americas","1801",633,29,723000
"255","Honduras","Americas","1801",675,33.9,130000
"256","Hungary","Europe","1801",1250,36,3530000
"257","Iceland","Europe","1801",926,33.9,61400
"258","India","Asia","1801",1050,25.4,169000000
"259","Indonesia","Asia","1801",994,30,16200000
"260","Iran","Asia","1801",977,25.6,6280000
"261","Iraq","Asia","1801",969,31.2,1080000
"262","Ireland","Europe","1801",1450,38.3,4110000
"263","Israel","Asia","1801",880,32,210000
"264","Italy","Europe","1801",2200,29.7,18900000
"265","Jamaica","Americas","1801",1170,34.2,401000
"266","Japan","Asia","1801",1050,36.4,30300000
"267","Jordan","Asia","1801",976,31.7,217000
"268","Kazakhstan","Asia","1801",1140,26.2,2040000
"269","Kenya","Africa","1801",856,25.5,2570000
"270","Kiribati","Oceania","1801",551,24.9,17900
"271","Kuwait","Asia","1801",1100,26,81300
"272","Kyrgyz Republic","Asia","1801",508,23.9,530000
"273","Lao","Asia","1801",865,31.9,470000
"274","Latvia","Europe","1801",752,33,591000
"275","Lebanon","Asia","1801",1080,29.7,332000
"276","Lesotho","Africa","1801",393,32.8,276000
"277","Liberia","Africa","1801",797,31.1,314000
"278","Libya","Africa","1801",1050,33.1,532000
"279","Lithuania","Europe","1801",1270,28.9,779000
"280","Luxembourg","Europe","1801",1450,36.9,127000
"281","Macedonia, FYR","Europe","1801",690,36.1,392000
"282","Madagascar","Africa","1801",573,30.5,1550000
"283","Malawi","Africa","1801",350,30.3,737000
"284","Malaysia","Asia","1801",997,30.6,287000
"285","Maldives","Asia","1801",843,32.6,42400
"286","Mali","Africa","1801",603,26.4,1400000
"287","Malta","Europe","1801",782,28.7,134000
"288","Mauritania","Africa","1801",528,32,383000
"289","Mauritius","Africa","1801",940,28.7,64200
"290","Mexico","Americas","1801",1380,26.9,6200000
"291","Micronesia, Fed. Sts.","Oceania","1801",518,26.7,16400
"292","Moldova","Europe","1801",621,33.1,713000
"293","Mongolia","Asia","1801",592,31.8,619000
"294","Montenegro","Europe","1801",1060,35.4,127000
"295","Morocco","Africa","1801",714,33.1,2510000
"296","Mozambique","Africa","1801",391,30.3,1990000
"297","Myanmar","Asia","1801",840,30.8,3510000
"298","Namibia","Africa","1801",540,32.4,229000
"299","Nepal","Asia","1801",654,32.8,3880000
"300","Netherlands","Europe","1801",4160,39.9,2260000
"301","New Zealand","Oceania","1801",658,34,100000
"302","Nicaragua","Americas","1801",973,25.4,219000
"303","Niger","Africa","1801",446,30.8,1240000
"304","Nigeria","Africa","1801",853,30.4,12100000
"305","North Korea","Asia","1801",578,26,4350000
"306","Norway","Europe","1801",1280,35.8,873000
"307","Oman","Asia","1801",916,32.3,318000
"308","Pakistan","Asia","1801",1020,25.8,13100000
"309","Palestine","Asia","1801",1220,32.1,166000
"310","Panama","Americas","1801",847,32.9,78800
"311","Papua New Guinea","Oceania","1801",546,31.5,755000
"312","Paraguay","Americas","1801",835,35.5,143000
"313","Peru","Americas","1801",1200,35.7,1310000
"314","Philippines","Asia","1801",962,30.9,1890000
"315","Poland","Europe","1801",1220,35.9,9550000
"316","Portugal","Europe","1801",1680,35.6,3050000
"317","Qatar","Asia","1801",1100,30.8,14100
"318","Romania","Europe","1801",815,35.7,5510000
"319","Russia","Europe","1801",1430,29.6,31100000
"320","Rwanda","Africa","1801",432,25,928000
"321","Samoa","Oceania","1801",1400,25.4,47300
"322","Sao Tome and Principe","Africa","1801",852,31,22700
"323","Saudi Arabia","Asia","1801",846,32.1,2090000
"324","Senegal","Africa","1801",497,25.2,1010000
"325","Serbia","Europe","1801",1360,35.5,2150000
"326","Seychelles","Africa","1801",795,37,12500
"327","Sierra Leone","Africa","1801",734,25.1,794000
"328","Singapore","Asia","1801",1020,29.1,30000
"329","Slovak Republic","Europe","1801",1430,36.4,2140000
"330","Slovenia","Europe","1801",1410,36.6,470000
"331","Solomon Islands","Oceania","1801",363,25.1,57000
"332","Somalia","Africa","1801",694,29.4,992000
"333","South Africa","Africa","1801",1480,33.5,1450000
"334","South Korea","Asia","1801",575,25.8,9400000
"335","South Sudan","Africa","1801",507,26.7,1030000
"336","Spain","Europe","1801",1520,29.5,11600000
"337","Sri Lanka","Asia","1801",898,32.6,1210000
"338","St. Lucia","Americas","1801",875,28,24000
"339","St. Vincent and the Grenadines","Americas","1801",838,26,25800
"340","Sudan","Africa","1801",518,31.4,4000000
"341","Suriname","Americas","1801",1640,32.9,80700
"342","Swaziland","Africa","1801",490,32.3,86000
"343","Sweden","Europe","1801",1400,36.9,2350000
"344","Switzerland","Europe","1801",2700,38,1830000
"345","Syria","Asia","1801",1080,31.1,1340000
"346","Tajikistan","Asia","1801",557,24.2,467000
"347","Tanzania","Africa","1801",562,32.2,3020000
"348","Thailand","Asia","1801",931,30.4,4670000
"349","Timor-Leste","Asia","1801",522,28.9,137000
"350","Togo","Africa","1801",683,31.3,446000
"351","Tonga","Oceania","1801",663,28.2,18700
"352","Trinidad and Tobago","Americas","1801",1230,32.9,60000
"353","Tunisia","Africa","1801",715,28.8,863000
"354","Turkey","Asia","1801",1220,35,9790000
"355","Turkmenistan","Asia","1801",944,24,367000
"356","Uganda","Africa","1801",464,25.3,2100000
"357","Ukraine","Europe","1801",764,36.6,11200000
"358","United Arab Emirates","Asia","1801",1000,30.7,40200
"359","United Kingdom","Europe","1801",3440,37.4,12500000
"360","United States","Americas","1801",2170,39.4,6930000
"361","Uruguay","Americas","1801",1760,32.9,55000
"362","Uzbekistan","Asia","1801",502,26.9,1920000
"363","Vanuatu","Oceania","1801",586,24.3,27800
"364","Venezuela","Americas","1801",682,32.2,718000
"365","Vietnam","Asia","1801",861,32,6550000
"366","Yemen","Asia","1801",879,23.4,2590000
"367","Zambia","Africa","1801",665,32.6,747000
"368","Zimbabwe","Africa","1801",870,33.7,1090000
"369","Afghanistan","Asia","1802",603,28.2,3280000
"370","Albania","Europe","1802",667,35.4,413000
"371","Algeria","Africa","1802",717,28.8,2520000
"372","Angola","Africa","1802",623,27,1570000
"373","Antigua and Barbuda","Americas","1802",757,33.5,37000
"374","Argentina","Americas","1802",1510,33.2,534000
"375","Armenia","Asia","1802",514,34,413000
"376","Australia","Oceania","1802",818,34,349000
"377","Austria","Europe","1802",1860,34.4,3220000
"378","Azerbaijan","Asia","1802",775,29.2,880000
"379","Bahamas","Americas","1802",1450,35.2,27400
"380","Bahrain","Asia","1802",1250,30.3,64500
"381","Bangladesh","Asia","1802",876,25.5,19300000
"382","Barbados","Americas","1802",914,32.1,81700
"383","Belarus","Europe","1802",608,36.2,2360000
"384","Belgium","Europe","1802",2410,40,3170000
"385","Belize","Americas","1802",579,26.5,25500
"386","Benin","Africa","1802",597,31,637000
"387","Bhutan","Asia","1802",630,28.8,90000
"388","Bolivia","Americas","1802",854,33,1100000
"389","Bosnia and Herzegovina","Europe","1802",669,35.1,852000
"390","Botswana","Africa","1802",397,33.6,121000
"391","Brazil","Americas","1802",1110,32,3720000
"392","Brunei","Asia","1802",1510,29.2,2130
"393","Bulgaria","Europe","1802",1090,35.9,2010000
"394","Burkina Faso","Africa","1802",480,29.2,1670000
"395","Burundi","Africa","1802",419,31.5,899000
"396","Cambodia","Asia","1802",904,35,2090000
"397","Cameroon","Africa","1802",626,28.8,1860000
"398","Canada","Americas","1802",1330,39,661000
"399","Cape Verde","Africa","1802",529,33.8,55700
"400","Central African Republic","Africa","1802",424,30,479000
"401","Chad","Africa","1802",418,30.9,1430000
"402","Chile","Americas","1802",1030,32,771000
"403","China","Asia","1802",984,32,327000000
"404","Colombia","Americas","1802",962,32,1210000
"405","Comoros","Africa","1802",697,32.1,56300
"406","Congo, Dem. Rep.","Africa","1802",489,31.6,5160000
"407","Congo, Rep.","Africa","1802",578,32.7,314000
"408","Costa Rica","Americas","1802",775,30.2,53500
"409","Cote d'Ivoire","Africa","1802",819,31.2,1090000
"410","Croatia","Europe","1802",1100,36.1,1230000
"411","Cuba","Americas","1802",884,32.5,366000
"412","Cyprus","Asia","1802",854,38.5,184000
"413","Czech Republic","Europe","1802",1920,35,5520000
"414","Denmark","Europe","1802",2020,44.4,1070000
"415","Djibouti","Africa","1802",757,29.9,22800
"416","Dominican Republic","Americas","1802",667,29.9,89000
"417","Ecuador","Americas","1802",529,32.9,500000
"418","Egypt","Africa","1802",791,33,4240000
"419","El Salvador","Americas","1802",975,28.7,248000
"420","Equatorial Guinea","Africa","1802",357,29.8,80400
"421","Eritrea","Africa","1802",532,30.2,205000
"422","Estonia","Europe","1802",940,35.3,334000
"423","Ethiopia","Africa","1802",523,29.7,2950000
"424","Fiji","Oceania","1802",785,26.1,131000
"425","Finland","Europe","1802",1250,39.2,995000
"426","France","Europe","1802",1810,34.4,29500000
"427","Gabon","Africa","1802",390,30.6,158000
"428","Gambia","Africa","1802",814,28.8,103000
"429","Georgia","Asia","1802",543,31.9,1070000
"430","Germany","Europe","1802",1660,38.4,23100000
"431","Ghana","Africa","1802",697,28,2020000
"432","Greece","Europe","1802",1380,36.6,2170000
"433","Grenada","Americas","1802",959,31.4,29400
"434","Guatemala","Americas","1802",857,25.8,471000
"435","Guinea","Africa","1802",450,29.5,984000
"436","Guinea-Bissau","Africa","1802",777,32,218000
"437","Guyana","Americas","1802",1210,31.1,166000
"438","Haiti","Americas","1802",634,29,723000
"439","Honduras","Americas","1802",675,33.9,130000
"440","Hungary","Europe","1802",1250,36,3560000
"441","Iceland","Europe","1802",927,27.6,61400
"442","India","Asia","1802",1050,25,169000000
"443","Indonesia","Asia","1802",995,30,16200000
"444","Iran","Asia","1802",977,25.6,6300000
"445","Iraq","Asia","1802",970,31.2,1080000
"446","Ireland","Europe","1802",1450,38.3,4150000
"447","Israel","Asia","1802",880,32,210000
"448","Italy","Europe","1802",2270,29.7,19000000
"449","Jamaica","Americas","1802",1170,34.2,401000
"450","Japan","Asia","1802",1050,36.4,30400000
"451","Jordan","Asia","1802",976,31.7,217000
"452","Kazakhstan","Asia","1802",1140,26.2,2040000
"453","Kenya","Africa","1802",859,25.5,2570000
"454","Kiribati","Oceania","1802",552,24.9,17900
"455","Kuwait","Asia","1802",1110,26,81300
"456","Kyrgyz Republic","Asia","1802",508,23.9,530000
"457","Lao","Asia","1802",865,31.9,470000
"458","Latvia","Europe","1802",753,33,591000
"459","Lebanon","Asia","1802",1080,29.7,332000
"460","Lesotho","Africa","1802",394,32.8,276000
"461","Liberia","Africa","1802",797,31.1,314000
"462","Libya","Africa","1802",1050,33.1,532000
"463","Lithuania","Europe","1802",1270,28.9,779000
"464","Luxembourg","Europe","1802",1450,36.9,127000
"465","Macedonia, FYR","Europe","1802",690,36.1,392000
"466","Madagascar","Africa","1802",573,30.5,1560000
"467","Malawi","Africa","1802",350,30.3,737000
"468","Malaysia","Asia","1802",997,30.6,287000
"469","Maldives","Asia","1802",843,32.6,42400
"470","Mali","Africa","1802",603,26.4,1400000
"471","Malta","Europe","1802",782,28.7,134000
"472","Mauritania","Africa","1802",528,32,383000
"473","Mauritius","Africa","1802",940,28.7,65600
"474","Mexico","Americas","1802",1380,26.9,6220000
"475","Micronesia, Fed. Sts.","Oceania","1802",518,26.7,16400
"476","Moldova","Europe","1802",621,33.1,713000
"477","Mongolia","Asia","1802",592,31.8,619000
"478","Montenegro","Europe","1802",1060,35.4,127000
"479","Morocco","Africa","1802",715,33.1,2520000
"480","Mozambique","Africa","1802",391,30.3,1990000
"481","Myanmar","Asia","1802",840,30.8,3510000
"482","Namibia","Africa","1802",540,32.4,229000
"483","Nepal","Asia","1802",654,32.8,3880000
"484","Netherlands","Europe","1802",4390,39.9,2260000
"485","New Zealand","Oceania","1802",658,34,100000
"486","Nicaragua","Americas","1802",973,25.4,219000
"487","Niger","Africa","1802",446,30.8,1240000
"488","Nigeria","Africa","1802",854,30.4,12100000
"489","North Korea","Asia","1802",577,26,4350000
"490","Norway","Europe","1802",1280,38.4,878000
"491","Oman","Asia","1802",916,32.3,318000
"492","Pakistan","Asia","1802",1020,25.8,13200000
"493","Palestine","Asia","1802",1220,32.1,166000
"494","Panama","Americas","1802",847,32.9,78800
"495","Papua New Guinea","Oceania","1802",546,31.5,755000
"496","Paraguay","Americas","1802",835,35.5,143000
"497","Peru","Americas","1802",1200,35.7,1310000
"498","Philippines","Asia","1802",962,30.9,1890000
"499","Poland","Europe","1802",1220,35.9,9600000
"500","Portugal","Europe","1802",1680,35.6,3060000
"501","Qatar","Asia","1802",1110,30.8,14100
"502","Romania","Europe","1802",815,35.7,5550000
"503","Russia","Europe","1802",1430,29.6,31100000
"504","Rwanda","Africa","1802",432,25,928000
"505","Samoa","Oceania","1802",1400,25.4,47300
"506","Sao Tome and Principe","Africa","1802",853,31,22700
"507","Saudi Arabia","Asia","1802",847,32.1,2090000
"508","Senegal","Africa","1802",497,25.2,1010000
"509","Serbia","Europe","1802",1360,35.5,2150000
"510","Seychelles","Africa","1802",798,37,12500
"511","Sierra Leone","Africa","1802",734,25.1,794000
"512","Singapore","Asia","1802",1020,29.1,30000
"513","Slovak Republic","Europe","1802",1430,36.4,2140000
"514","Slovenia","Europe","1802",1410,36.6,470000
"515","Solomon Islands","Oceania","1802",363,25.1,57000
"516","Somalia","Africa","1802",695,29.4,992000
"517","South Africa","Africa","1802",1480,33.5,1450000
"518","South Korea","Asia","1802",574,25.8,9400000
"519","South Sudan","Africa","1802",507,26.7,1030000
"520","Spain","Europe","1802",1520,29.5,11600000
"521","Sri Lanka","Asia","1802",898,32.6,1210000
"522","St. Lucia","Americas","1802",875,28,24000
"523","St. Vincent and the Grenadines","Americas","1802",838,26,25800
"524","Sudan","Africa","1802",518,31.4,4000000
"525","Suriname","Americas","1802",1640,32.9,80700
"526","Swaziland","Africa","1802",490,32.3,86000
"527","Sweden","Europe","1802",1470,40.2,2360000
"528","Switzerland","Europe","1802",2700,38,1840000
"529","Syria","Asia","1802",1080,31.1,1340000
"530","Tajikistan","Asia","1802",557,24.2,467000
"531","Tanzania","Africa","1802",562,32.2,3020000
"532","Thailand","Asia","1802",931,30.4,4670000
"533","Timor-Leste","Asia","1802",523,28.9,137000
"534","Togo","Africa","1802",683,31.3,446000
"535","Tonga","Oceania","1802",663,28.2,18700
"536","Trinidad and Tobago","Americas","1802",1230,32.9,60000
"537","Tunisia","Africa","1802",716,28.8,863000
"538","Turkey","Asia","1802",1220,35,9800000
"539","Turkmenistan","Asia","1802",945,24,367000
"540","Uganda","Africa","1802",464,25.3,2100000
"541","Ukraine","Europe","1802",765,36.6,11200000
"542","United Arab Emirates","Asia","1802",1010,30.7,40200
"543","United Kingdom","Europe","1802",3450,38.6,12600000
"544","United States","Americas","1802",2200,39.4,7070000
"545","Uruguay","Americas","1802",1760,32.9,55000
"546","Uzbekistan","Asia","1802",502,26.9,1920000
"547","Vanuatu","Oceania","1802",586,24.3,27800
"548","Venezuela","Americas","1802",682,32.2,718000
"549","Vietnam","Asia","1802",861,32,6550000
"550","Yemen","Asia","1802",882,23.4,2590000
"551","Zambia","Africa","1802",667,32.6,747000
"552","Zimbabwe","Africa","1802",871,33.7,1090000
