"","year","state","state_po","candidate","party","state_sum","statetotal","state_percent"
"285",2020,"NEW JERSEY","NJ","JOSEPH R BIDEN JR","DEMOCRAT",2608335,4549353,57.334196752813
"286",2020,"NEW MEXICO","NM","JOSEPH R BIDEN JR","DEMOCRAT",501614,923965,54.2892858495722
"287",2020,"NEW YORK","NY","JOSEPH R BIDEN JR","DEMOCRAT",5230985,8661735,60.3918845358349
"288",2020,"NORTH CAROLINA","NC","DONALD J TRUMP","REPUBLICAN",2758773,5524802,49.9343324882955
"289",2020,"NORTH DAKOTA","ND","DONALD J TRUMP","REPUBLICAN",235595,361819,65.1140487370757
"290",2020,"OHIO","OH","DONALD J TRUMP","REPUBLICAN",3154834,5922202,53.2713001008746
"291",2020,"OKLAHOMA","OK","DONALD J TRUMP","REPUBLICAN",1020280,1560699,65.373271848063
"292",2020,"OREGON","OR","JOSEPH R BIDEN JR","DEMOCRAT",1340383,2374321,56.4533186540489
"293",2020,"PENNSYLVANIA","PA","JOSEPH R BIDEN JR","DEMOCRAT",3458229,6915283,50.0084956754481
"294",2020,"RHODE ISLAND","RI","JOSEPH R BIDEN JR","DEMOCRAT",306210,516383,59.2990086815406
"295",2020,"SOUTH CAROLINA","SC","DONALD J TRUMP","REPUBLICAN",1385103,2513329,55.1102939567402
"296",2020,"SOUTH DAKOTA","SD","DONALD J TRUMP","REPUBLICAN",261043,422609,61.7693896722502
"297",2020,"TENNESSEE","TN","DONALD J TRUMP","REPUBLICAN",1852475,3053851,60.6602941662838
"298",2020,"TEXAS","TX","DONALD J TRUMP","REPUBLICAN",5890347,11315056,52.0576036035526
"299",2020,"UTAH","UT","DONALD J TRUMP","REPUBLICAN",865139,1495354,57.8551299558499
"300",2020,"VERMONT","VT","JOSEPH R BIDEN JR","DEMOCRAT",242826,370826,65.482463473435
"301",2020,"VIRGINIA","VA","JOSEPH R BIDEN JR","DEMOCRAT",2413568,4462600,54.0843454488415
"302",2020,"WASHINGTON","WA","JOSEPH R BIDEN JR","DEMOCRAT",2369612,4087631,57.9703011353031
"303",2020,"WEST VIRGINIA","WV","DONALD J TRUMP","REPUBLICAN",545382,794652,68.6315519246161
"304",2020,"WISCONSIN","WI","JOSEPH R BIDEN JR","DEMOCRAT",1630673,3297352,49.454016435006
"305",2020,"WYOMING","WY","DONALD J TRUMP","REPUBLICAN",193559,278503,69.4997899484027
